"мбр, мп, мб, мр, мв, мвід",Загальновійськові частини і підрозділи,"Механізована бригада, полк, батальйон, рота, взвод, відділення",no
"тбр, тп, тб, тр, тв",Загальновійськові частини і підрозділи,"Танкова бригада, полк, батальйон, рота, взвод",no
"аембр, аемп, аемб, аемр, аемв, аемвід",Загальновійськові частини і підрозділи,"Аеромобільна бригада, полк, батальйон, рота, взвод, відділення",no
"аемдб, аемр",Загальновійськові частини і підрозділи,"Аеромобільно-десантний батальйон (рота)",no
"пдбр",Загальновійськові частини і підрозділи,"Повітряно-десантна бригада",no
"пдб, пдр, пдв, пдвід",Загальновійськові частини і підрозділи,"Парашутно-десантний батальйон, рота, взвод, відділення",no
"гв, гвід",Загальновійськові частини і підрозділи,"Гранатометний взвод, відділення",no
"кр, кв",Загальновійськові частини і підрозділи,"Комендантська рота, взвод",no

"абр, адн, абатр",Артилерійські частини і підрозділи,"Артилерійська бригада (дивізіон, батарея)",no
"гсадн, гсабатр",Артилерійські частини і підрозділи,"Гаубичний (гарматний) самохідно-артилерійський дивізіон (батарея)",no
"буар",Артилерійські частини і підрозділи,"Батарея управління і артилерійської розвідки",no
"рбр, рдн, рбатр",Артилерійські частини і підрозділи,"Ракетна бригада (дивізіон, батарея)",no
"БрАГ",Артилерійські частини і підрозділи,"Бригадна артилерійська група",no
"птадн, птабатр, птав",Артилерійські частини і підрозділи,"Протитанковий артилерійський дивізіон, батарея, взвод",no
"птв, птвід",Артилерійські частини і підрозділи,"Протитанковий взвод, відділення",no
"реап, реадн, реабатр",Артилерійські частини і підрозділи,"Реактивний артилерійський полк (дивізіон, батарея)",no
"батр ПТКР",Артилерійські частини і підрозділи,"Батарея протитанкових керованих ракет",no
"мінбатр, мінв",Артилерійські частини і підрозділи,"Мінометна батарея, взвод",no
"батру, ву",Артилерійські частини і підрозділи,"батарея (взвод) управління",no

"зрбр, зрп, зрдн, зрбатр, зрв",Частини і підрозділи ППО,"Зенітна ракетна бригада (полк, дивізіон, батарея, взвод)",no
"зрадн, зрабатр,зрав",Частини і підрозділи ППО,"Зенітний ракетний артилерійський дивізіон (батарея, взвод)",no

"рб, рр, рв, рвід",Підрозділи спеціальних військ,"Розвідувальний батальйон, рота, взвод, відділення",no
"п СпП, заг СпП",Підрозділи спеціальних військ,"Полк (загін) спеціального призначення",no
"п СпО, заг СпО",Підрозділи спеціальних військ,"Полк (загін) спеціальних операцій",no
"п РіРТР, б РіРТР, р РіРТР",Підрозділи спеціальних військ,"Полк (батальйон, рота) радіо і радіотехнічної розвідки",no
"ПРТК",Підрозділи спеціальних військ,"Пункт радіотехнічного контролю",no
"РЗ, РД, РГ",Підрозділи спеціальних військ,"Розвідувальний загін (дозор, група)",no
"іп, іб, ір",Підрозділи спеціальних військ,"Інженерний полк (батальйон, рота)",no
"помп,помб, помр, помв",Підрозділи спеціальних військ,"Понтонно-мостовий полк (батальйон, рота, взвод)",no
"ісб, іср, ісв, ісвід",Підрозділи спеціальних військ,"Інженерно-саперний батальйон, рота, взвод, відділення",no
"ібз, ірз",Підрозділи спеціальних військ,"Інженерний батальйон (рота) загороджень",no
"ідмб",Підрозділи спеціальних військ,"Інженерний дорожньо-мостовий батальйон",no
"ідб",Підрозділи спеціальних військ,"Інженерний дорожній батальйон",no
"ібопу, іропу",Підрозділи спеціальних військ,"Інженерний батальйон (рота) обладнання пунктів управління",no
"імасб, імаср",Підрозділи спеціальних військ,"Інженерний маскувальний батальйон (рота)",no
"ітб, ітр",Підрозділи спеціальних військ,"Інженерно-технічний батальйон (рота)",no
"ГІЗ",Підрозділи спеціальних військ,"Група інженерного забезпечення",no
"рГПТ, вГПТ, відГПТ",Підрозділи спеціальних військ,"Рота (взвод, відділення) гусеничних плаваючих транспортерів",no
"рір",Підрозділи спеціальних військ,"Рота інженерної розвідки",no
"рік",Підрозділи спеціальних військ,"Рота інженерних конструкцій",no
"іс",Підрозділи спеціальних військ,"Інженерний склад",no
"РЗЗ",Підрозділи спеціальних військ,"Рухомий загін загороджень",no
"пРХБз, бРХБз, рРХБз, вРХБз",Підрозділи спеціальних військ,"Полк (батальйон, рота, взвод) радіаційного, хімічного, біологічного захисту",no
"рРХБр, вРХБр, відРХБр",Підрозділи спеціальних військ,"Рота (взвод, відділення) радіаційної, хімічної, біологічної розвідки",no
"дб, др",Підрозділи спеціальних військ,"Димовий батальйон (рота)",no
"брз, пз, бз, рз, вз, відз",Підрозділи спеціальних військ,"Бригада (полк, батальйон, рота, взвод, відділення) зв’язку",no
"лпз, лбз, лрз",Підрозділи спеціальних військ,"Лінійний полк (батальйон, рота)",no
"пу, бу, ру",Підрозділи спеціальних військ,"Полк (батальйон, рота) управління",no
"ррб, ррр",Підрозділи спеціальних військ,"Радіорелейний батальйон (рота)",no
"ВЗ, ПВЗ",Підрозділи спеціальних військ,"Вузол (польовий вузол) зв’язку",no
"ВЗ(м) ПВЗ",Підрозділи спеціальних військ,"Вузол зв’язку (мобільний) польового вузла зв’язку",no
"ПУСЗ",Підрозділи спеціальних військ,"Пункт управління системою зв’язку",no

"брмз, пмз, бмз, рмз, вмз",Підрозділи матеріально-технічного забезпечення,"Бригада (полк, батальйон, рота, взвод) матеріального забезпечення",no
"броо, боо, роо",Підрозділи матеріально-технічного забезпечення,"Бригада (батальйон, рота) охорони та обслуговування",no
"бтз",Підрозділи матеріально-технічного забезпечення,"Батальйон тилового забезпечення",no
"бо, ро",Підрозділи матеріально-технічного забезпечення,"Батальйон (рота) обслуговування",no
"автб, автр, автв, автвід",Підрозділи матеріально-технічного забезпечення,"Автомобільний батальйон (рота, взвод, відділення)",no
"автб ПП, автр ПП, автв ПП, автвідПП",Підрозділи матеріально-технічного забезпечення,"Автомобільний батальйон (рота, взвод, відділення) підвозу пального",no
"рзп",Підрозділи матеріально-технічного забезпечення,"Рота заправки пальним",no
"рс",Підрозділи матеріально-технічного забезпечення,"Речовий склад",no
"рвп, рвб",Підрозділи матеріально-технічного забезпечення,"Ремонтно-відновлювальний полк (батальйон)",no
"бо, ро",Підрозділи матеріально-технічного забезпечення,"Батальйон (рота) обслуговування",no
"ремр, ремв",Підрозділи матеріально-технічного забезпечення,"Ремонтна рота, взвод",no
"ремр БТ, ремв АТ",Підрозділи матеріально-технічного забезпечення,"Ремонтна рота бронетанкової (автомобільної) техніки",no
"ер",Підрозділи матеріально-технічного забезпечення,"Евакуаційна рота",no
"госв, госвід",Підрозділи матеріально-технічного забезпечення,"Господарчий взвод, відділення",no
"взаб",Підрозділи матеріально-технічного забезпечення,"Взвод забезпечення",no
"впост, відпост",Підрозділи матеріально-технічного забезпечення,"Взвод, відділення постачання",no
"медб, медр",Підрозділи матеріально-технічного забезпечення,"Медичний батальйон (рота)",no
"МПП, МПБ",Підрозділи матеріально-технічного забезпечення,"Медичний пункт полку (батальйону)",no
"мс",Підрозділи матеріально-технічного забезпечення,"Медичний склад",no

"МВС України",Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),"Міністерство внутрішніх справ України",no
